
Host: localhost.localdomain

Timers On : Sat May 21 21:11:24 2022
Timers Off: Sat May 21 21:16:43 2022

Wall Time:      319.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | bMatrix pseudoinverse           :      0.183u      0.017s      0.003w     34 calls
| | New vector                      :     24.817u      1.000s      0.703w     34 calls
HF: Form C                          :    260.917u      2.883s      7.213w     34 calls
DFMP2 Singles                       :      3.233u      0.033s      0.087w      3 calls
DFMP2 Aia                           :   1657.617u     11.583s     59.986w      3 calls
| DFMP2 (A|mn)                      :   1336.217u      0.417s     36.589w     21 calls
| DFMP2 (A|mn)C_mi                  :    109.383u      1.000s      3.011w     21 calls
| DFMP2 (A|mi)C_na                  :     24.600u      1.233s      0.707w     21 calls
| DFMP2 Aia Write                   :     47.750u      2.900s      1.388w     21 calls
DFMP2 Qia                           :    106.500u      5.850s      5.922w      3 calls
| DFMP2 Metric                      :     44.000u      0.567s      1.587w      3 calls
| DFMP2 Aia Read                    :      0.017u      0.850s      0.535w      3 calls
| DFMP2 (Q|A)(A|ia)                 :     35.450u      0.383s      0.981w      3 calls
| DFMP2 Qia Write                   :     20.900u      2.633s      1.506w      3 calls
DFMP2 Energy                        :    417.633u      3.633s     13.899w      3 calls
| DFMP2 Qia Read                    :      0.733u      0.867s      0.966w      6 calls

**************************************************************************************

Host: localhost.localdomain

Timers On : Sat May 21 21:29:19 2022
Timers Off: Sun May 22 14:14:09 2022

Wall Time:    60289.80 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|mn)                          :    563.433u      2.300s     14.590w      1 calls
JK: (A|Q)^-1/2                      :     41.050u      0.600s      1.111w      1 calls
JK: (Q|mn)                          :    311.583u      0.600s      7.895w      1 calls
HF: Form core H                     :      0.600u      0.017s      0.091w      3 calls
HF: Form S/X                        :     24.717u      0.483s      0.633w      3 calls
HF: Guess                           :    110.983u      1.567s      2.822w      3 calls
SAD Guess                           :    108.667u      1.517s      2.763w      3 calls
HF: Form G                          :   4858.083u     21.867s    125.636w     37 calls
JK: D                               :      2.533u      0.050s      0.076w     37 calls
JK: USO2AO                          :      5.133u      0.117s      0.119w     37 calls
JK: JK                              :   4843.567u     21.500s    125.264w     37 calls
JK: J                               :    680.117u      2.183s     17.231w     37 calls
JK: J1                              :    329.467u      1.567s      8.306w     37 calls
JK: J2                              :    341.717u      0.400s      8.581w     37 calls
JK: K                               :   3898.067u      1.067s     97.858w     37 calls
JK: K1                              :   3377.383u      0.883s     84.775w     37 calls
JK: K2                              :    517.833u      0.133s     13.010w     37 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      5.533u      0.067s      0.144w     37 calls
HF: Form D                          :      2.283u      0.000s      0.071w     37 calls
HF: DIIS                            :    122.317u      4.567s      3.186w     34 calls
DIISManager::add_entry              :     27.767u      1.200s      0.715w     34 calls
DIISManager::extrapolate            :     60.267u      2.850s      1.583w     34 calls
bMatrix setup                       :     34.367u      1.917s      0.914w     34 calls
bMatrix pseudoinverse               :      0.250u      0.017s      0.003w     34 calls
New vector                          :     25.617u      0.917s      0.665w     34 calls
HF: Form C                          :    307.983u      3.200s      7.798w     34 calls
DFMP2 Singles                       :      3.383u      0.033s      0.085w      3 calls
DFMP2 Aia                           :   1391.300u     29.433s     67.720w      3 calls
DFMP2 (A|mn)                        :   1171.033u      0.267s     29.372w      3 calls
DFMP2 (A|mn)C_mi                    :    121.767u      0.200s      3.068w      3 calls
DFMP2 (A|mi)C_na                    :     25.133u      0.667s      0.647w      3 calls
DFMP2 Aia Write                     :     21.150u      2.383s      1.253w      3 calls
DFMP2 Qia                           :    113.800u      5.667s      5.258w      3 calls
DFMP2 Metric                        :     39.517u      0.600s      1.184w      3 calls
DFMP2 Aia Read                      :      0.050u      0.900s      0.558w      3 calls
DFMP2 (Q|A)(A|ia)                   :     45.667u      0.033s      1.148w      3 calls
DFMP2 Qia Write                     :     22.300u      2.683s      1.383w      3 calls
DFMP2 Energy                        :    469.267u      3.667s     14.332w      3 calls
DFMP2 Qia Read                      :      0.750u      0.833s      0.968w      6 calls
DF Integrals                        :  15149.533u    505.267s    607.650w      1 calls
Omega Integrals                     :     99.783u     54.033s    168.673w      1 calls
Amplitudes                          : 126976.250u   1924.767s   4201.826w      1 calls
Elst10                              :      0.017u      0.000s      0.000w      1 calls
Exch10 S^2                          :      4.583u      0.233s      0.648w      1 calls
Exch10                              :      3.883u      0.067s      0.099w      1 calls
Ind20,r                             :   7684.167u    164.867s    203.877w      1 calls
Exch-Ind20,r                        :    110.550u      6.700s     12.426w      1 calls
Disp20                              :    157.967u      7.483s      8.144w      1 calls
Exch-Disp20                         :   2738.050u     55.217s     93.950w      1 calls
Elst12                              :      0.450u      0.033s      0.050w      1 calls
Exch11                              :     43.083u      2.850s      1.896w      1 calls
Exch12                              :  42566.700u    485.317s   1293.105w      1 calls
Ind22                               :   2431.633u    171.817s    175.402w      1 calls
Disp21                              :     52.700u     18.567s     17.649w      1 calls
Disp22 (SDQ)                        :   6944.383u    172.750s    280.880w      1 calls
Disp22 (T)                          : 907867.267u   2387.567s  48404.555w      1 calls
Elst13                              :      0.333u      0.017s      0.009w      1 calls
Disp30                              : 169495.700u   2571.117s   4523.416w      1 calls

--------------------------------------------------------------------------------------
JK: (A|mn)                          :    563.433u      2.300s     14.590w      1 calls
JK: (A|Q)^-1/2                      :     41.050u      0.600s      1.111w      1 calls
JK: (Q|mn)                          :    311.583u      0.600s      7.895w      1 calls
HF: Form core H                     :      0.600u      0.017s      0.091w      3 calls
HF: Form S/X                        :     24.717u      0.483s      0.633w      3 calls
HF: Guess                           :    110.983u      1.567s      2.822w      3 calls
| SAD Guess                         :    108.667u      1.517s      2.763w      3 calls
HF: Form G                          :   4858.083u     21.867s    125.636w     37 calls
| JK: D                             :      2.533u      0.050s      0.076w     37 calls
| JK: USO2AO                        :      5.133u      0.117s      0.119w     37 calls
| JK: JK                            :   4843.567u     21.500s    125.264w     37 calls
| | JK: J                           :    680.117u      2.183s     17.231w     37 calls
| | | JK: J1                        :    329.467u      1.567s      8.306w     37 calls
| | | JK: J2                        :    341.717u      0.400s      8.581w     37 calls
| | JK: K                           :   3898.067u      1.067s     97.858w     37 calls
| | | JK: K1                        :   3377.383u      0.883s     84.775w     37 calls
| | | JK: K2                        :    517.833u      0.133s     13.010w     37 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      5.533u      0.067s      0.144w     37 calls
HF: Form D                          :      2.283u      0.000s      0.071w     37 calls
HF: DIIS                            :    122.317u      4.567s      3.186w     34 calls
| DIISManager::add_entry            :     27.767u      1.200s      0.715w     34 calls
| DIISManager::extrapolate          :     60.267u      2.850s      1.583w     34 calls
| | bMatrix setup                   :     34.367u      1.917s      0.914w     34 calls
| | bMatrix pseudoinverse           :      0.250u      0.017s      0.003w     34 calls
| | New vector                      :     25.617u      0.917s      0.665w     34 calls
HF: Form C                          :    307.983u      3.200s      7.798w     34 calls
DFMP2 Singles                       :      3.383u      0.033s      0.085w      3 calls
DFMP2 Aia                           :   1391.300u     29.433s     67.720w      3 calls
| DFMP2 (A|mn)                      :   1171.033u      0.267s     29.372w      3 calls
| DFMP2 (A|mn)C_mi                  :    121.767u      0.200s      3.068w      3 calls
| DFMP2 (A|mi)C_na                  :     25.133u      0.667s      0.647w      3 calls
| DFMP2 Aia Write                   :     21.150u      2.383s      1.253w      3 calls
DFMP2 Qia                           :    113.800u      5.667s      5.258w      3 calls
| DFMP2 Metric                      :     39.517u      0.600s      1.184w      3 calls
| DFMP2 Aia Read                    :      0.050u      0.900s      0.558w      3 calls
| DFMP2 (Q|A)(A|ia)                 :     45.667u      0.033s      1.148w      3 calls
| DFMP2 Qia Write                   :     22.300u      2.683s      1.383w      3 calls
DFMP2 Energy                        :    469.267u      3.667s     14.332w      3 calls
| DFMP2 Qia Read                    :      0.750u      0.833s      0.968w      6 calls
DF Integrals                        :  15149.533u    505.267s    607.650w      1 calls
Omega Integrals                     :     99.783u     54.033s    168.673w      1 calls
Amplitudes                          : 126976.250u   1924.767s   4201.826w      1 calls
Elst10                              :      0.017u      0.000s      0.000w      1 calls
Exch10 S^2                          :      4.583u      0.233s      0.648w      1 calls
Exch10                              :      3.883u      0.067s      0.099w      1 calls
Ind20,r                             :   7684.167u    164.867s    203.877w      1 calls
Exch-Ind20,r                        :    110.550u      6.700s     12.426w      1 calls
Disp20                              :    157.967u      7.483s      8.144w      1 calls
Exch-Disp20                         :   2738.050u     55.217s     93.950w      1 calls
Elst12                              :      0.450u      0.033s      0.050w      1 calls
Exch11                              :     43.083u      2.850s      1.896w      1 calls
Exch12                              :  42566.700u    485.317s   1293.105w      1 calls
Ind22                               :   2431.633u    171.817s    175.402w      1 calls
Disp21                              :     52.700u     18.567s     17.649w      1 calls
Disp22 (SDQ)                        :   6944.383u    172.750s    280.880w      1 calls
Disp22 (T)                          : 907867.267u   2387.567s  48404.555w      1 calls
Elst13                              :      0.333u      0.017s      0.009w      1 calls
Disp30                              : 169495.700u   2571.117s   4523.416w      1 calls

**************************************************************************************
